Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
2	127	C:\Hannah's FYP\White14_neu.jpg	joy	2	forehead	2		212	821	2	0
2	128	C:\Hannah's FYP\Black4_neu.jpg	poison	1	forehead	1		111	612	1	0
2	129	C:\Hannah's FYP\White11_neu.jpg	joy	2	forehead	2		212	796	2	0
2	130	C:\Hannah's FYP\White20_neu.jpg	garbage	2	forehead	1		211	673	1	0
2	131	C:\Hannah's FYP\Black6_neu.jpg	success	1	forehead	2		112	2543	2	0
2	132	C:\Hannah's FYP\White3_neu.jpg	despair	2	forehead	1		211	564	1	0
2	133	C:\Hannah's FYP\Black15_neu.jpg	love	1	forehead	2		112	462	2	0
2	134	C:\Hannah's FYP\White15_neu.jpg	beauty	2	forehead	2		212	581	2	0
2	135	C:\Hannah's FYP\Black16_neu.jpg	success	1	forehead	2		112	2127	2	0
2	136	C:\Hannah's FYP\Black5_neu.jpg	pest	1	forehead	1		111	646	1	0
2	137	C:\Hannah's FYP\White14_neu.jpg	love	2	forehead	2		212	585	2	0
2	138	C:\Hannah's FYP\Black9_neu.jpg	despair	1	forehead	1		111	562	1	0
2	139	C:\Hannah's FYP\White10_neu.jpg	vacation	2	forehead	2		212	605	2	0
2	140	C:\Hannah's FYP\White24_neu.jpg	love	2	forehead	2		212	2885	2	0
2	141	C:\Hannah's FYP\White5_neu.jpg	cockroach	2	forehead	1		211	732	1	0
2	142	C:\Hannah's FYP\White17_neu.jpg	disgust	2	forehead	1		211	519	1	0
2	143	C:\Hannah's FYP\White20_neu.jpg	cockroach	2	forehead	1		211	592	1	0
2	144	C:\Hannah's FYP\Black2_neu.jpg	success	1	forehead	2		112	521	2	0
2	145	C:\Hannah's FYP\Black5_neu.jpg	love	1	forehead	2		112	933	1	1
2	146	C:\Hannah's FYP\Black21_neu.jpg	disgust	1	forehead	1		111	1684	1	0
2	147	C:\Hannah's FYP\White22_neu.jpg	romance	2	forehead	2		212	503	2	0
2	148	C:\Hannah's FYP\White19_neu.jpg	despair	2	forehead	1		211	896	1	0
2	149	C:\Hannah's FYP\Black14_neu.jpg	beauty	1	forehead	2		112	1180	2	0
2	150	C:\Hannah's FYP\Black20_neu.jpg	vacation	1	forehead	2		112	536	2	0
2	151	C:\Hannah's FYP\White17_neu.jpg	success	2	forehead	2		212	611	2	0
2	152	C:\Hannah's FYP\White23_neu.jpg	poison	2	forehead	1		211	592	1	0
2	153	C:\Hannah's FYP\Black8_neu.jpg	beauty	1	forehead	2		112	607	2	0
2	154	C:\Hannah's FYP\White7_neu.jpg	vacation	2	forehead	2		212	703	2	0
2	155	C:\Hannah's FYP\Black3_neu.jpg	love	1	forehead	2		112	674	2	0
2	156	C:\Hannah's FYP\Black21_neu.jpg	success	1	forehead	2		112	644	2	0
2	157	C:\Hannah's FYP\White22_neu.jpg	pest	2	forehead	1		211	907	1	0
2	158	C:\Hannah's FYP\White20_neu.jpg	joy	2	forehead	2		212	1203	2	0
2	159	C:\Hannah's FYP\Black1_neu.jpg	vomit	1	forehead	1		111	1169	1	0
2	160	C:\Hannah's FYP\Black10_neu.jpg	pest	1	forehead	1		111	641	1	0
2	161	C:\Hannah's FYP\Black13_neu.jpg	disgust	1	forehead	1		111	960	1	0
2	162	C:\Hannah's FYP\Black4_neu.jpg	joy	1	forehead	2		112	889	2	0
2	163	C:\Hannah's FYP\White21_neu.jpg	joy	2	forehead	2		212	570	2	0
2	164	C:\Hannah's FYP\Black16_neu.jpg	pest	1	forehead	1		111	644	1	0
2	165	C:\Hannah's FYP\White23_neu.jpg	despair	2	forehead	1		211	862	1	0
2	166	C:\Hannah's FYP\White1_neu.jpg	pest	2	forehead	1		211	652	1	0
2	167	C:\Hannah's FYP\Black19_neu.jpg	garbage	1	forehead	1		111	1746	1	0
2	168	C:\Hannah's FYP\Black8_neu.jpg	romance	1	forehead	2		112	1463	2	0
2	169	C:\Hannah's FYP\White12_neu.jpg	vomit	2	forehead	1		211	723	1	0
2	170	C:\Hannah's FYP\White16_neu.jpg	smile	2	forehead	2		212	502	2	0
2	171	C:\Hannah's FYP\Black18_neu.jpg	success	1	forehead	2		112	867	2	0
2	172	C:\Hannah's FYP\White24_neu.jpg	paradise	2	forehead	2		212	1384	2	0
2	173	C:\Hannah's FYP\White1_neu.jpg	paradise	2	forehead	2		212	480	2	0
2	174	C:\Hannah's FYP\White4_neu.jpg	poison	2	forehead	1		211	734	1	0
2	175	C:\Hannah's FYP\Black17_neu.jpg	smile	1	forehead	2		112	575	2	0
2	176	C:\Hannah's FYP\Black3_neu.jpg	disgust	1	forehead	1		111	904	1	0
2	177	C:\Hannah's FYP\Black24_neu.jpg	vacation	1	forehead	2		112	1137	2	0
2	178	C:\Hannah's FYP\White17_neu.jpg	beauty	2	forehead	2		212	498	2	0
2	179	C:\Hannah's FYP\Black11_neu.jpg	paradise	1	forehead	2		112	727	2	0
2	180	C:\Hannah's FYP\White18_neu.jpg	paradise	2	forehead	2		212	503	2	0
2	181	C:\Hannah's FYP\White9_neu.jpg	despair	2	forehead	1		211	1156	1	0
2	182	C:\Hannah's FYP\White3_neu.jpg	garbage	2	forehead	1		211	908	1	0
2	183	C:\Hannah's FYP\White15_neu.jpg	vomit	2	forehead	1		211	776	1	0
2	184	C:\Hannah's FYP\Black7_neu.jpg	joy	1	forehead	2		112	1023	2	0
2	185	C:\Hannah's FYP\Black1_neu.jpg	paradise	1	forehead	2		112	1205	2	0
2	186	C:\Hannah's FYP\White7_neu.jpg	vomit	2	forehead	1		211	620	1	0
2	187	C:\Hannah's FYP\Black8_neu.jpg	garbage	1	forehead	1		111	1465	1	0
2	188	C:\Hannah's FYP\Black3_neu.jpg	garbage	1	forehead	1		111	548	1	0
2	189	C:\Hannah's FYP\Black7_neu.jpg	paradise	1	forehead	2		112	861	2	0
2	190	C:\Hannah's FYP\White21_neu.jpg	success	2	forehead	2		212	823	2	0
2	191	C:\Hannah's FYP\White4_neu.jpg	vomit	2	forehead	1		211	565	1	0
2	192	C:\Hannah's FYP\White22_neu.jpg	disgust	2	forehead	1		211	904	1	0
