"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"ID"	"race"	"fixation"
2	154	"C:\Hannah's FYP\White7_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	703	2	0	1	"White"	"forehead"
2	155	"C:\Hannah's FYP\Black3_neu.jpg"	"love"	1	"forehead"	2	NA	112	674	2	0	1	"Black"	"forehead"
2	156	"C:\Hannah's FYP\Black21_neu.jpg"	"success"	1	"forehead"	2	NA	112	644	2	0	1	"Black"	"nose"
2	157	"C:\Hannah's FYP\White22_neu.jpg"	"pest"	2	"forehead"	1	NA	211	907	1	0	1	"White"	"nose"
2	158	"C:\Hannah's FYP\White20_neu.jpg"	"joy"	2	"forehead"	2	NA	212	1203	2	0	1	"White"	"nose"
2	159	"C:\Hannah's FYP\Black1_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	1169	1	0	1	"Black"	"forehead"
2	160	"C:\Hannah's FYP\Black10_neu.jpg"	"pest"	1	"forehead"	1	NA	111	641	1	0	1	"Black"	"eyes"
2	161	"C:\Hannah's FYP\Black13_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	960	1	0	1	"Black"	"eyes"
2	162	"C:\Hannah's FYP\Black4_neu.jpg"	"joy"	1	"forehead"	2	NA	112	889	2	0	1	"Black"	"forehead"
2	163	"C:\Hannah's FYP\White21_neu.jpg"	"joy"	2	"forehead"	2	NA	212	570	2	0	1	"White"	"nose"
2	164	"C:\Hannah's FYP\Black16_neu.jpg"	"pest"	1	"forehead"	1	NA	111	644	1	0	1	"Black"	"eyes"
2	165	"C:\Hannah's FYP\White23_neu.jpg"	"despair"	2	"forehead"	1	NA	211	862	1	0	1	"White"	"nose"
2	166	"C:\Hannah's FYP\White1_neu.jpg"	"pest"	2	"forehead"	1	NA	211	652	1	0	1	"White"	"forehead"
2	167	"C:\Hannah's FYP\Black19_neu.jpg"	"garbage"	1	"forehead"	1	NA	111	1746	1	0	1	"Black"	"nose"
2	168	"C:\Hannah's FYP\Black8_neu.jpg"	"romance"	1	"forehead"	2	NA	112	1463	2	0	1	"Black"	"forehead"
2	169	"C:\Hannah's FYP\White12_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	723	1	0	1	"White"	"eyes"
2	170	"C:\Hannah's FYP\White16_neu.jpg"	"smile"	2	"forehead"	2	NA	212	502	2	0	1	"White"	"eyes"
2	171	"C:\Hannah's FYP\Black18_neu.jpg"	"success"	1	"forehead"	2	NA	112	867	2	0	1	"Black"	"nose"
2	172	"C:\Hannah's FYP\White24_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	1384	2	0	1	"White"	"nose"
2	173	"C:\Hannah's FYP\White1_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	480	2	0	1	"White"	"forehead"
2	174	"C:\Hannah's FYP\White4_neu.jpg"	"poison"	2	"forehead"	1	NA	211	734	1	0	1	"White"	"forehead"
2	175	"C:\Hannah's FYP\Black17_neu.jpg"	"smile"	1	"forehead"	2	NA	112	575	2	0	1	"Black"	"nose"
2	176	"C:\Hannah's FYP\Black3_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	904	1	0	1	"Black"	"forehead"
2	177	"C:\Hannah's FYP\Black24_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	1137	2	0	1	"Black"	"nose"
2	178	"C:\Hannah's FYP\White17_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	498	2	0	1	"White"	"nose"
2	179	"C:\Hannah's FYP\Black11_neu.jpg"	"paradise"	1	"forehead"	2	NA	112	727	2	0	1	"Black"	"eyes"
2	180	"C:\Hannah's FYP\White18_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	503	2	0	1	"White"	"nose"
2	181	"C:\Hannah's FYP\White9_neu.jpg"	"despair"	2	"forehead"	1	NA	211	1156	1	0	1	"White"	"eyes"
2	182	"C:\Hannah's FYP\White3_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	908	1	0	1	"White"	"forehead"
2	183	"C:\Hannah's FYP\White15_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	776	1	0	1	"White"	"eyes"
2	184	"C:\Hannah's FYP\Black7_neu.jpg"	"joy"	1	"forehead"	2	NA	112	1023	2	0	1	"Black"	"forehead"
